3510.20	0.0047	0.50	4.02	7.31	4.73
3510.00	0.0018	0.20	0.16	0.16	0.18
3509.80	0.0038	0.67	1.30	7.28	3.90
3509.60	0.0072	0.45	6.70	7.41	5.14
3509.40	0.0057	0.46	6.95	3.54	1.23
3509.20	0.0075	0.52	1.02	3.74	1.17
3509.00	0.0044	1.33	1.01	2.19	0.13
3508.80	0.0130	0.72	3.60	6.55	2.93
3508.60	0.0128	0.50	6.62	5.65	3.14
3508.40	0.0103	0.50	3.17	4.73	2.25
3508.20	0.0101	0.46	3.06	5.12	2.80
3508.00	0.0093	0.68	4.02	4.32	0.96
3507.80	0.0142	0.44	3.93	5.05	2.86
3507.60	0.0077	0.36	4.66	4.42	2.59
3507.40	0.0077	0.47	2.74	4.30	1.96
3507.20	0.0043	0.60	0.96	3.50	0.53
3507.00	0.0081	0.39	3.89	4.55	2.58
3506.80	0.0110	0.54	4.64	3.80	1.10
3506.60	0.0057	0.29	2.79	3.34	1.87
3506.40	0.0040	0.31	3.30	3.32	1.79
3506.20	0.0093	0.51	2.64	2.33	0.20
3506.00	0.0071	0.66	3.68	4.61	1.31
3505.80	0.0042	0.87	1.33	4.19	0.13
3505.60	0.0048	0.83	6.97	2.50	0.12
3505.40	0.0088	0.37	3.59	3.21	1.35
3505.20	0.0072	0.55	4.54	5.34	2.61
3505.00	0.0078	0.58	1.29	3.38	0.52
3504.80	0.0099	0.51	1.26	2.48	0.13
3504.60	0.0101	0.28	2.95	2.25	0.86
3504.40	0.0027	0.40	2.96	2.81	0.80
3504.20	0.0059	0.63	4.12	4.94	1.80
3504.00	0.0099	0.47	3.91	4.30	1.94
3503.80	0.0096	0.31	3.58	4.09	2.50
3503.60	0.0084	0.91	3.14	2.56	0.11
3503.40	0.0087	0.82	2.83	3.49	0.20
3503.20	0.0075	0.48	6.74	3.81	1.44
3503.00	0.0086	0.47	4.64	3.75	1.39
3502.80	0.0077	0.38	2.71	3.35	1.47
3502.60	0.0092	0.35	0.95	3.08	1.34
3502.40	0.0090	0.48	1.51	6.39	3.95
3502.20	0.0086	0.81	1.13	7.03	2.98
3502.00	0.0080	0.61	2.75	6.60	3.55
3501.80	0.0060	0.53	4.14	4.49	1.86
3501.60	0.0079	0.89	4.35	7.47	3.02
3501.40	0.0065	1.29	4.54	7.06	0.64
